Name,uid,pct_age_young,pct_age_mid1,pct_age_mid2,pct_age_old,pct_dem,pct_rep,pct_ind,pct_male,pct_fem,pct_black,pct_white,pct_hisp,pct_race_other,notes,Property
NYT GA-Trump,129980_13254,34,47,43,54,1,94,39,51,39,4,68,,,white/black,Sean Grimes
NYT GA-Biden,129980_13256,63,44,43,40,94,2,40,40,49,83,27,,,white/black,Sean Grimes
YouGov GA-Trump,130351_13254,28,40,53,55,0,93,45,53,42,8,66,,,white/black,Sean Grimes
YouGov GA-Biden,130351_13256,64,48,42,40,96,4,38,41,51,83,28,,,white/black,Sean Grimes
Quinnipiac GA-Trump,130477_13254,36,48,47,54,0,97,42,56,39,7,67,,,white/black,Sean Grimes
Quinnipiac GA-Biden,130477_13256,63,49,49,45,98,3,51,41,57,89,31,,,white/black,Sean Grimes
Emerson MI-Trump,132225_13254,33,39,46,44,7,91,30,47,39,20,46,,,white/black (other race categories omitted b/c n<10),Sean Grimes
Emerson MI-Biden,132225_13256,57,51,50,55,89,7,56,49,56,78,48,,,white/black (other race categories omitted b/c n<10),Sean Grimes
Landmark GA-Trump,132266_13254,42,,47,61,12,84,31,53,52,10,68,,41,"white/black/other. Age: 18-40, 40-65,65+",Sean Grimes
Landmark GA-Biden,132266_13256,49,,50,37,87,11,60,40,45,85,28,,46,"white/black/other. Age: 18-40, 40-65,65+",Sean Grimes
Public Policy Polling GA-Trump,132272_13254,34,,46,62,3,90,44,58,36,6,67,,41,"white/black/other. Age: 18-45, 45-65,65+",Sean Grimes
Public Policy Polling GA-Biden,132272_13256,53,,50,37,91,7,45,37,56,83,29,,55,"white/black/other. Age: 18-45, 45-65,65+",Sean Grimes
YouGov MI-Trump,132308_13254,29,42,42,48,3,4,38,48,38,6,50,,,white/black,Sean Grimes
YouGov MI-Biden,132308_13256,58,49,49,48,95,91,49,44,55,91,42,,,white/black,Sean Grimes
YouGov NV-Trump,132309_13254,27,39,48,51,5,88,46,49,38,,52,32,,white/hisp,Sean Grimes
YouGov NV-Biden,132309_13256,64,51,45,43,91,7,39,43,54,,40,65,,white/hisp,Sean Grimes
YouGov IA-Trump,132310_13254,37,40,51,47,4,89,39,51,39,,47,,,white only,Sean Grimes
YouGov IA-Biden,132310_13256,50,51,42,46,93,6,44,42,50,,44,,,white only,Sean Grimes
