uid,question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes_polls,url,stage,race_id,answer,candidate_id,candidate_name,candidate_party,pct,Name,pct_age_young,pct_age_mid1,pct_age_mid2,pct_age_old,pct_dem,pct_rep,pct_ind,pct_male,pct_fem,pct_black,pct_white,pct_hisp,pct_race_other,notes_crosstab,Property
132342_13256,132342,70744,2020,Florida,1102,Emerson College,1446,NewsNation,Emerson College,88.0,Emerson College,A-,690.0,lv,lv,IVR/Online/Text,U.S. President,0,,10/10/20,10/12/20,11/3/20,,False,,,False,False,10/12/20 20:03,,https://emersonpolling.reportablenews.com/pr/florida-2020-biden-holds-slight-edge-three-weeks-out,general,6220,Biden,13256,Joseph R. Biden Jr.,DEM,50.6,Emerson FL-Biden,57.0,45.0,49.0,51.0,84.0,11.0,55.0,43.0,56.0,87.0,43.0,52.0,,white/black/hisp,Sean Grimes
132342_13254,132342,70744,2020,Florida,1102,Emerson College,1446,NewsNation,Emerson College,88.0,Emerson College,A-,690.0,lv,lv,IVR/Online/Text,U.S. President,0,,10/10/20,10/12/20,11/3/20,,False,,,False,False,10/12/20 20:03,,https://emersonpolling.reportablenews.com/pr/florida-2020-biden-holds-slight-edge-three-weeks-out,general,6220,Trump,13254,Donald Trump,REP,48.4,Emerson FL-Trump,42.0,49.0,51.0,45.0,15.0,88.0,38.0,53.0,42.0,9.0,54.0,48.0,,white/black/hisp,Sean Grimes
132335_13256,132335,70738,2020,Wisconsin,1424,Siena College/The New York Times Upshot,,,Siena College/The New York Times Upshot,448.0,Siena College/The New York Times Upshot,A+,789.0,lv,lv,Live Phone,U.S. President,0,,10/8/20,10/11/20,11/3/20,,False,,,False,False,10/12/20 13:05,,https://int.nyt.com/data/documenttools/miwi1020-crosstabs/b0a09cd1cd0048df/full.pdf,general,6259,Biden,13256,Joseph R. Biden Jr.,DEM,51.0,NYT WI-Biden,62.0,50.0,47.0,53.0,97.0,6.0,52.0,43.0,58.0,,51.0,,55.0,white/other,Sean Grimes
132335_13254,132335,70738,2020,Wisconsin,1424,Siena College/The New York Times Upshot,,,Siena College/The New York Times Upshot,448.0,Siena College/The New York Times Upshot,A+,789.0,lv,lv,Live Phone,U.S. President,0,,10/8/20,10/11/20,11/3/20,,False,,,False,False,10/12/20 13:05,,https://int.nyt.com/data/documenttools/miwi1020-crosstabs/b0a09cd1cd0048df/full.pdf,general,6259,Trump,13254,Donald Trump,REP,41.0,NYT WI-Trump,27.0,39.0,46.0,42.0,2.0,91.0,34.0,50.0,34.0,,43.0,,27.0,white/other,Sean Grimes
132334_13256,132334,70737,2020,Michigan,1424,Siena College/The New York Times Upshot,,,Siena College/The New York Times Upshot,448.0,Siena College/The New York Times Upshot,A+,614.0,lv,lv,Live Phone,U.S. President,0,,10/6/20,10/11/20,11/3/20,,False,,,False,False,10/12/20 13:05,,https://int.nyt.com/data/documenttools/miwi1020-crosstabs/b0a09cd1cd0048df/full.pdf,general,6233,Biden,13256,Joseph R. Biden Jr.,DEM,48.0,NYT MI-Biden,47.0,49.0,46.0,52.0,97.0,4.0,48.0,42.0,54.0,86.0,44.0,,,white/black,Sean Grimes
132334_13254,132334,70737,2020,Michigan,1424,Siena College/The New York Times Upshot,,,Siena College/The New York Times Upshot,448.0,Siena College/The New York Times Upshot,A+,614.0,lv,lv,Live Phone,U.S. President,0,,10/6/20,10/11/20,11/3/20,,False,,,False,False,10/12/20 13:05,,https://int.nyt.com/data/documenttools/miwi1020-crosstabs/b0a09cd1cd0048df/full.pdf,general,6233,Trump,13254,Donald Trump,REP,40.0,NYT MI-Trump,37.0,38.0,45.0,39.0,1.0,90.0,31.0,44.0,37.0,12.0,45.0,,,white/black,Sean Grimes
132308_13256,132308,70724,2020,Michigan,568,YouGov,133,CBS News,YouGov,391.0,YouGov,B,1190.0,lv,lv,Online,U.S. President,0,,10/6/20,10/9/20,11/3/20,,False,,,False,False,10/11/20 10:59,,https://drive.google.com/file/d/1ONr-7DegyuvciqdCL7TigWCIvJ1LbSbD/view,general,6233,Biden,13256,Joseph R. Biden Jr.,DEM,52.0,YouGov MI-Biden,58.0,49.0,49.0,48.0,95.0,91.0,49.0,44.0,55.0,91.0,42.0,,,white/black,Sean Grimes
132308_13254,132308,70724,2020,Michigan,568,YouGov,133,CBS News,YouGov,391.0,YouGov,B,1190.0,lv,lv,Online,U.S. President,0,,10/6/20,10/9/20,11/3/20,,False,,,False,False,10/11/20 10:59,,https://drive.google.com/file/d/1ONr-7DegyuvciqdCL7TigWCIvJ1LbSbD/view,general,6233,Trump,13254,Donald Trump,REP,46.0,YouGov MI-Trump,29.0,42.0,42.0,48.0,3.0,4.0,38.0,48.0,38.0,6.0,50.0,,,white/black,Sean Grimes
132309_13256,132309,70725,2020,Nevada,568,YouGov,133,CBS News,YouGov,391.0,YouGov,B,1036.0,lv,lv,Online,U.S. President,0,,10/6/20,10/9/20,11/3/20,,False,,,False,False,10/11/20 10:59,,https://drive.google.com/file/d/1YShdAgKUTTx0fqhTfEuDJ-zwnd7YgkpD/view,general,6244,Biden,13256,Joseph R. Biden Jr.,DEM,52.0,YouGov NV-Biden,64.0,51.0,45.0,43.0,91.0,7.0,39.0,43.0,54.0,,40.0,65.0,,white/hisp,Sean Grimes
132309_13254,132309,70725,2020,Nevada,568,YouGov,133,CBS News,YouGov,391.0,YouGov,B,1036.0,lv,lv,Online,U.S. President,0,,10/6/20,10/9/20,11/3/20,,False,,,False,False,10/11/20 10:59,,https://drive.google.com/file/d/1YShdAgKUTTx0fqhTfEuDJ-zwnd7YgkpD/view,general,6244,Trump,13254,Donald Trump,REP,46.0,YouGov NV-Trump,27.0,39.0,48.0,51.0,5.0,88.0,46.0,49.0,38.0,,52.0,32.0,,white/hisp,Sean Grimes
