state,question_id_avg,und_age_mid1_avg,und_age_mid2_avg,und_age_old_avg,und_age_young_avg,und_black_avg,und_dem_avg,und_fem_avg,und_hisp_avg,und_ind_avg,und_male_avg,und_race_other_avg,und_rep_avg,und_white_avg,question_id_cnt,und_age_mid1_cnt,und_age_mid2_cnt,und_age_old_cnt,und_age_young_cnt,und_black_cnt,und_dem_cnt,und_fem_cnt,und_hisp_cnt,und_ind_cnt,und_male_cnt,und_race_other_cnt,und_rep_cnt,und_white_cnt
Arizona,2.2177855348355272e+34,10.25,6.666666666666667,4.0,12.833333333333334,6.0,2.5,6.333333333333333,11.5,15.666666666666666,8.666666666666666,8.0,3.1666666666666665,6.833333333333333,6.0,4.0,6.0,6.0,6.0,1.0,6.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0
Wisconsin,2.6467026071425857e+28,9.75,6.25,4.4,8.75,14.0,2.2,6.4,6.0,12.2,6.2,9.666666666666666,2.4,5.6,5.0,4.0,4.0,5.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,5.0,5.0
Pennsylvania,2.2006522018188667e+34,8.0,4.4,3.8333333333333335,6.166666666666667,0.0,2.8333333333333335,5.0,7.0,11.4,5.666666666666667,4.75,3.8333333333333335,5.0,6.0,4.0,5.0,6.0,6.0,1.0,6.0,6.0,1.0,5.0,6.0,4.0,6.0,6.0
Nevada,3.307728302503257e+22,14.333333333333334,7.333333333333333,5.5,13.25,,4.25,8.25,4.5,21.25,9.0,15.0,3.5,7.0,4.0,3.0,3.0,4.0,4.0,0.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0
North Carolina,1.898016177601862e+40,8.4,6.4,3.8333333333333335,9.833333333333334,7.0,3.0,6.0,11.0,15.5,7.0,5.0,2.5714285714285716,6.142857142857143,7.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,1.0,6.0,7.0,2.0,7.0,7.0
Florida,1.6542766548891513e+46,8.0,3.875,4.5,8.75,8.285714285714286,2.5,5.75,6.857142857142857,10.375,6.0,6.5,2.25,4.375,8.0,7.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,2.0,8.0,8.0
Ohio,2.657322641982632e+28,6.5,6.0,4.8,9.8,4.666666666666667,2.0,5.8,,12.5,7.4,9.0,2.6,6.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,0.0,4.0,5.0,2.0,5.0,5.0
Minnesota,3.234978232603232e+22,8.666666666666666,12.0,4.25,11.0,,3.0,6.5,,14.75,8.5,13.0,3.5,8.333333333333334,4.0,3.0,3.0,4.0,3.0,0.0,4.0,4.0,0.0,4.0,4.0,1.0,4.0,3.0
Michigan,3.3083533077033056e+22,10.666666666666666,7.333333333333333,4.0,11.25,2.5,2.25,6.25,,13.75,7.5,9.0,3.5,7.25,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,1.0,4.0,4.0
Georgia,2.213768881118871e+34,6.0,5.833333333333333,3.3333333333333335,6.166666666666667,7.166666666666667,2.8333333333333335,5.833333333333333,1.0,14.0,6.333333333333333,13.0,2.6666666666666665,4.333333333333333,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,1.0,6.0,6.0
